직원 ID	목표치	목표 월
90836195	650000000	2017/12/01
112432117	650000000	2017/07/01
139397894	650000000	2017/12/01
191644724	650000000	2017/09/01
502097814	650000000	2017/07/01
716374314	650000000	2017/12/01
841560125	650000000	2017/08/01
987554265	650000000	2017/12/01
61161660	650000000	2018/02/01
90836195	650000000	2018/05/01
139397894	650000000	2018/06/01
139397894	650000000	2018/07/01
139397894	650000000	2018/08/01
139397894	650000000	2018/09/01
139397894	650000000	2018/10/01
139397894	650000000	2018/11/01
139397894	650000000	2018/12/01
191644724	650000000	2018/02/01
191644724	650000000	2018/03/01
234474252	650000000	2018/07/01
234474252	650000000	2018/08/01
234474252	650000000	2018/09/01
234474252	650000000	2018/10/01
234474252	650000000	2018/11/01
234474252	650000000	2018/12/01
399771412	650000000	2018/07/01
399771412	650000000	2018/08/01
399771412	650000000	2018/09/01
399771412	650000000	2018/10/01
399771412	650000000	2018/11/01
399771412	650000000	2018/12/01
841560125	650000000	2018/03/01
841560125	650000000	2018/04/01
841560125	650000000	2018/06/01
987554265	650000000	2018/08/01
61161660	650000000	2019/03/01
90836195	650000000	2019/09/01
90836195	650000000	2019/12/01
134219713	650000000	2019/11/01
139397894	650000000	2019/02/01
139397894	650000000	2019/03/01
139397894	650000000	2019/12/01
191644724	650000000	2019/02/01
234474252	650000000	2019/07/01
234474252	650000000	2019/10/01
399771412	650000000	2019/07/01
399771412	650000000	2019/08/01
399771412	650000000	2019/10/01
668991357	650000000	2019/12/01
841560125	650000000	2019/03/01
841560125	650000000	2019/05/01
841560125	650000000	2019/07/01
841560125	650000000	2019/08/01
841560125	650000000	2019/09/01
841560125	650000000	2019/10/01
841560125	650000000	2019/11/01
841560125	650000000	2019/12/01
982310417	650000000	2019/10/01
982310417	650000000	2019/12/01
987554265	650000000	2019/10/01
90836195	650000000	2020/04/01
90836195	650000000	2020/05/01
90836195	650000000	2020/06/01
90836195	650000000	2020/08/01
90836195	650000000	2020/09/01
90836195	650000000	2020/11/01
90836195	650000000	2020/12/01
134219713	650000000	2020/11/01
139397894	650000000	2020/02/01
139397894	650000000	2020/12/01
191644724	650000000	2020/01/01
234474252	650000000	2020/04/01
234474252	650000000	2020/07/01
234474252	650000000	2020/08/01
234474252	650000000	2020/10/01
234474252	650000000	2020/11/01
399771412	650000000	2020/06/01
399771412	650000000	2020/07/01
399771412	650000000	2020/08/01
399771412	650000000	2020/10/01
399771412	650000000	2020/11/01
